platform,date,content_type,views,likes,comments,shares,watch_time,followers_gained,engagement_rate,virality_score,watch_time_per_view,follower_conversion_rate,day_of_week,month,week,performance_category
Instagram,2025-03-31,Story,40815,5231,817,297,22769,654,0.15545755237045203,0.35276246478010537,0.5578586304054882,0.016023520764424842,Monday,3,14,High
Instagram,2025-04-21,Post,40756,3576,421,232,16213,477,0.10376386298949848,0.23493473353616645,0.3978064579448425,0.011703798213759936,Monday,4,17,Medium
Instagram,2025-05-21,Story,14582,1484,172,38,13302,81,0.1161706213139487,0.2519544644081745,0.9122205458784803,0.005554793581127418,Wednesday,5,21,Medium
YouTube,2025-03-14,Short,67127,4874,294,423,52608,1128,0.08328988335543075,0.1898639891548855,0.7837084928568236,0.016803968596838827,Friday,3,11,Low
YouTube,2025-03-10,Video,9637,775,43,70,10379,112,0.0921448583584103,0.21054270001037667,1.076994915430113,0.011621874027186884,Monday,3,11,Low
Instagram,2025-03-01,Post,33464,2908,488,202,36687,615,0.10751852737269901,0.24772890270141046,1.0963124551757113,0.018377958403060005,Saturday,3,9,Medium
Instagram,2025-04-08,Post,30394,2261,359,58,25944,326,0.08810949529512403,0.19375534644995723,0.8535895242482069,0.010725801144962821,Tuesday,4,15,Low
YouTube,2025-06-23,Short,64222,5965,1018,504,53362,606,0.11657998816604902,0.27255457631341284,0.8308990688549095,0.009436018809753668,Monday,6,26,Medium
YouTube,2025-03-09,Video,26715,3374,514,84,9203,296,0.14868051656372824,0.3260340632603406,0.344488115291035,0.011079917649260715,Sunday,3,10,High
YouTube,2025-03-08,Video,42262,5371,1053,455,21216,645,0.16277033741895794,0.38275519379111256,0.50201126307321,0.015261937437887464,Saturday,3,10,High
Instagram,2025-01-13,Reel,49141,5226,1030,419,26171,912,0.13583362161942167,0.3182067926985613,0.5325695447793085,0.018558840886428847,Monday,1,3,Medium
YouTube,2025-05-29,Short,125342,11631,1426,679,43597,1026,0.10958816677570168,0.24680474222527166,0.34782435257136474,0.00818560418694452,Thursday,5,22,Medium
YouTube,2025-01-30,Video,19566,1142,163,48,6530,162,0.06915056731064091,0.15399161811305326,0.33374220586732084,0.00827966881324747,Thursday,1,5,Low
YouTube,2025-05-11,Short,84394,8718,949,384,71391,1478,0.11909614427565941,0.2630874232765362,0.8459250657629689,0.017513093347868332,Sunday,5,19,Medium
YouTube,2025-05-31,Video,23806,2978,308,255,27672,184,0.14874401411408888,0.34256069898344954,1.1623960346131228,0.007729143913299168,Saturday,5,22,High
Instagram,2025-05-07,Reel,107157,9379,788,268,90872,1390,0.0973804791100908,0.2096176638017115,0.8480267271386843,0.012971621079350858,Wednesday,5,19,Low
Instagram,2025-03-08,Post,11241,1055,84,52,4972,77,0.1059514278089138,0.23325326928209233,0.44230940307801797,0.006849924383951606,Saturday,3,10,Medium
YouTube,2025-01-25,Video,21251,3024,169,231,17197,336,0.16112182956096183,0.3628064561667686,0.8092325067055668,0.015811020657851397,Saturday,1,4,High
YouTube,2025-04-25,Video,40235,5292,486,402,37705,368,0.15359761401764632,0.34924816701876477,0.9371194233875979,0.009146265689076675,Friday,4,17,High
Instagram,2025-01-11,Post,48776,5085,427,422,31318,636,0.12165819255371495,0.27802607839921273,0.6420780711825488,0.013039199606363785,Saturday,1,2,Medium
Instagram,2025-03-09,Story,21322,2194,368,178,6903,421,0.12850576868961636,0.2993152612325298,0.32375011724978897,0.019744864459243974,Sunday,3,10,Medium
YouTube,2025-04-03,Video,26631,1881,155,98,18880,394,0.08013217678645188,0.17712440389020315,0.7089482182418986,0.014794788028988773,Thursday,4,14,Low
YouTube,2025-05-07,Short,37753,4604,418,416,35850,336,0.1440415331231955,0.3322120096416179,0.9495934097952481,0.008899954970465923,Wednesday,5,19,High
Instagram,2025-02-08,Story,13291,1076,67,88,15504,175,0.0926190655330675,0.2101422014897299,1.1665036490858476,0.013166804604619668,Saturday,2,6,Low
Instagram,2025-03-19,Story,24984,2641,349,256,12604,459,0.1299231508165226,0.3045549151456932,0.5044828690361831,0.018371757925072046,Wednesday,3,12,Medium
YouTube,2025-04-24,Short,52326,4328,781,236,36268,320,0.10214807170431525,0.23275236020334059,0.693116232847915,0.006115506631502504,Thursday,4,17,Medium
Instagram,2025-06-21,Post,12001,1178,222,57,4625,151,0.12140654945421214,0.2755603699691692,0.38538455128739274,0.0125822848095992,Saturday,6,25,Medium
Instagram,2025-04-09,Reel,24276,3618,424,124,15484,413,0.17160982039874773,0.3760092272202999,0.6378316032295271,0.017012687427912343,Wednesday,4,15,High
YouTube,2025-02-01,Short,14818,2022,382,130,15752,167,0.1710082332298556,0.39411526521797813,1.0630314482386287,0.011270076933459307,Saturday,2,5,High
Instagram,2025-03-29,Post,23163,3010,193,273,16157,442,0.15006691706601044,0.34382420239174544,0.6975348616327764,0.019082156888140567,Saturday,3,13,High
YouTube,2025-03-01,Short,124479,16831,908,831,47638,1873,0.14918178969946738,0.3256854569847123,0.38269908980631273,0.015046714706898352,Saturday,3,9,High
Instagram,2025-01-23,Post,18697,1015,57,47,9920,163,0.05984917366422421,0.13028828154249344,0.5305664010269027,0.00871797614590576,Thursday,1,4,Low
YouTube,2025-01-19,Video,26914,2913,238,174,14184,203,0.12354165118525674,0.2753213940700007,0.5270119640335885,0.007542542914468307,Sunday,1,3,Medium
Instagram,2025-04-08,Story,17116,2427,404,224,17069,155,0.1784879644776817,0.41984108436550593,0.997254031315728,0.009055854171535406,Tuesday,4,15,High
YouTube,2025-04-27,Short,98624,10410,1714,936,111593,1780,0.1324221284879948,0.310695165476963,1.1314994321868916,0.01804834523036989,Sunday,4,17,Medium
YouTube,2025-06-07,Short,30521,3967,739,333,36218,547,0.16509943973002195,0.38714327839847973,1.1866583663706955,0.01792208643229252,Saturday,6,23,High
Instagram,2025-03-28,Story,49798,6398,765,183,48975,272,0.14751596449656612,0.32141853086469335,0.9834732318567011,0.005462066749668661,Friday,3,13,High
Instagram,2025-05-29,Post,16700,2183,406,110,19472,331,0.16161676646706588,0.36730538922155687,1.1659880239520959,0.019820359281437126,Thursday,5,22,High
Instagram,2025-06-07,Story,2636,353,66,27,2926,42,0.16919575113808802,0.3941578148710167,1.1100151745068285,0.015933232169954476,Saturday,6,23,High
Instagram,2025-06-12,Reel,97705,4987,995,391,51938,1895,0.06522695870221586,0.1526431605342613,0.5315797553861112,0.019395117957115807,Thursday,6,24,Low
YouTube,2025-01-17,Short,23349,2308,308,166,27794,225,0.11914857167330507,0.27281682299027793,1.1903721786800292,0.00963638699730181,Friday,1,3,Medium
YouTube,2025-05-03,Video,47306,3748,304,225,42492,685,0.09041136430896715,0.20151777787172875,0.8982370101044265,0.014480192787384265,Saturday,5,18,Low
YouTube,2025-04-06,Video,46553,6792,1038,555,39760,282,0.18011728567439264,0.41829742444095974,0.8540802955770842,0.0060576117543445105,Sunday,4,14,High
YouTube,2025-03-02,Short,31097,4003,480,296,19057,342,0.15368041933305462,0.3513522204714281,0.61282438820465,0.01099784545132971,Sunday,3,9,High
Instagram,2025-05-29,Story,21102,3140,574,251,16110,283,0.1878968818121505,0.43867879821817835,0.7634347455217515,0.013411051085205194,Thursday,5,22,High
YouTube,2025-06-25,Short,60871,3284,208,168,35448,933,0.060127154145652284,0.131951175436579,0.5823462732664159,0.01532749585188349,Wednesday,6,26,Low
Instagram,2025-06-08,Story,19510,2502,239,122,15194,334,0.14674525884161968,0.3245002562788314,0.7787801127626858,0.017119425935417733,Sunday,6,23,High
YouTube,2025-03-03,Video,43346,5936,349,448,29791,377,0.15533151847921378,0.34972085082821947,0.6872837170673188,0.008697457666220643,Monday,3,10,High
YouTube,2025-03-21,Video,22868,2050,318,123,25492,244,0.10892950848347036,0.24790099702641247,1.1147454958894525,0.010669931782403358,Friday,3,12,Medium
YouTube,2025-02-17,Video,30824,2201,215,108,11292,510,0.08188424604204515,0.1812548663379185,0.366337918505061,0.016545548922917208,Monday,2,8,Low
YouTube,2025-06-19,Video,26939,2825,260,98,10468,248,0.11815583354987193,0.2568766472400609,0.3885816103047626,0.009205983889528193,Thursday,6,25,Medium
YouTube,2025-04-23,Short,8721,876,168,26,8876,100,0.12269235179451898,0.27359247792684327,1.017773191147804,0.011466574934067194,Wednesday,4,17,Medium
Instagram,2025-03-11,Reel,10836,839,104,75,10792,162,0.09394610557401255,0.21825396825396826,0.9959394610557402,0.014950166112956811,Tuesday,3,11,Low
YouTube,2025-03-12,Short,88362,8580,814,838,60431,1554,0.11579638306059166,0.2692560150290849,0.6839025825581132,0.017586745433557413,Wednesday,3,11,Medium
YouTube,2025-03-02,Short,14716,1782,263,91,8920,272,0.14514813808100027,0.32671921717858116,0.6061429736341397,0.018483283500951346,Sunday,3,9,High
Instagram,2025-05-21,Story,2282,278,22,21,894,21,0.1406660823838738,0.31858019281332167,0.39176161262050835,0.009202453987730062,Wednesday,5,21,High
Instagram,2025-05-14,Post,7545,1069,163,41,6392,58,0.16872100728959577,0.3753479125248509,0.8471835652750166,0.007687210072895957,Wednesday,5,20,High
YouTube,2025-04-06,Video,44750,5235,924,310,20109,829,0.14455865921787708,0.3305474860335196,0.44936312849162013,0.018525139664804468,Sunday,4,14,High
YouTube,2025-01-29,Video,3172,231,21,13,3089,57,0.08354350567465321,0.18600252206809584,0.9738335435056746,0.017969735182849937,Wednesday,1,5,Low
